gene_id	 SRR006295	SRR006296	SRR006297	SRR006300	SRR006301	SRR006302	SRR006303	SRR006304	SRR029309	SRR029310	
Cm_g10307	0	0	0	0	0	0	0	0	0	0
Cm_g10308	0	0	0	1	0	0	0	0	0	0
Cm_g10309	0	0	0	1	0	0	0	0	0	0
Cm_g10310	0	0	0	0	0	1	1	2	1	1
Cm_g10311	0	0	0	1	0	0	0	3	0	0
Cm_g10312	0	0	0	0	0	0	0	0	0	0
Cm_g10313	0	0	0	0	0	0	0	0	0	0
Cm_g1031	34	8	8	83	9	39	40	102	10	13
Cm_g10314	0	0	0	0	0	0	0	0	0	0
Cm_g10315	0	0	0	2	0	0	2	2	0	0
Cm_g10316	0	0	0	0	0	0	0	1	0	0
Cm_g10317	0	0	0	0	0	0	0	0	0	0
Cm_g10318	10	0	0	10	0	5	0	0	0	0
Cm_g10319	0	0	0	0	0	0	0	0	0	0
Cm_g10320	21	8	16	97	4	21	9	19	21	12
Cm_g10321	0	0	0	0	0	0	0	0	0	0
Cm_g1032	1	5	5	8	1	7	5	11	5	7
Cm_g10322	0	0	0	0	0	0	0	0	0	0
Cm_g10323	2	3	1	5	1	5	4	4	0	2
Cm_g10324	2	0	0	0	0	1	0	4	0	0
Cm_g10325	4	8	2	9	1	5	4	21	2	4
Cm_g10326	2	6	3	7	2	6	4	6	4	15
Cm_g10327	0	1	0	0	0	0	0	0	0	0
Cm_g10328	2	6	4	2	3	10	0	13	8	11
Cm_g10329	0	0	0	4	1	3	1	2	0	3
Cm_g1033	0	0	0	0	0	0	0	0	0	0
Cm_g10330	0	0	0	0	0	0	0	0	0	0
Cm_g10331	0	0	0	0	0	0	0	0	0	0
Cm_g10332	0	0	0	0	0	0	0	0	0	0
Cm_g10333	4	6	2	1	2	5	5	4	7	3
Cm_g10334	2	0	0	10	0	3	1	4	0	0
Cm_g10335	0	0	0	0	0	0	0	0	0	0
Cm_g10336	0	0	0	0	0	0	0	0	0	0
Cm_g10337	0	0	0	0	0	0	0	0	0	0
Cm_g10338	0	0	0	0	0	3	0	0	0	0
Cm_g10339	0	0	0	0	0	0	0	0	0	0
Cm_g10340	10	1	3	10	2	10	0	5	1	0
Cm_g10341	0	0	0	0	0	1	0	0	0	1
Cm_g1034	1	0	0	1	0	0	0	0	0	1
Cm_g10342	0	0	0	0	0	0	0	0	0	0
Cm_g10343	14	2	0	43	3	13	3	9	1	8
Cm_g10344	0	0	0	0	0	0	0	0	0	0
Cm_g10345	10	2	8	6	3	2	3	10	6	5
Cm_g10346	7	17	10	29	4	23	11	24	19	26
Cm_g10347	2	1	2	2	4	3	2	1	5	0
Cm_g103	4	7	6	22	1	5	7	13	9	10
Cm_g10348	0	0	0	0	0	0	0	0	0	0
Cm_g10349	4	1	3	4	4	3	3	4	5	7
Cm_g10350	0	0	0	0	0	0	0	0	0	0
Cm_g10351	0	0	0	0	0	0	0	0	0	0
Cm_g1035	1	1	4	1	1	3	3	8	1	8
Cm_g10352	7	10	9	10	8	13	5	20	9	15
Cm_g10353	0	0	0	0	1	0	0	1	0	0
Cm_g10354	4	3	1	17	3	9	3	15	6	2
Cm_g10355	4	0	1	6	5	2	5	3	4	1
Cm_g10356	1	0	0	0	0	1	0	0	1	1
Cm_g10357	1	0	0	0	0	0	0	0	0	0
Cm_g10358	1	1	0	0	0	0	0	0	0	2
Cm_g10359	0	0	0	0	0	0	0	0	0	0
Cm_g10360	24	0	1	50	0	2	0	1	1	0
Cm_g10361	1	0	1	0	0	0	1	0	0	0
Cm_g10362	0	0	0	0	0	0	0	0	0	0
Cm_g1036	2	1	1	7	1	10	1	9	1	8
Cm_g10363	0	0	0	0	0	0	0	0	0	0
Cm_g10364	0	0	1	3	0	0	0	2	0	0
Cm_g10365	0	0	0	0	0	0	0	0	0	0
Cm_g10366	0	0	0	0	0	0	0	0	0	0
Cm_g10367	0	0	0	0	0	0	0	0	0	0
Cm_g10368	1	3	2	0	0	1	0	0	1	6
Cm_g10369	0	0	0	0	0	0	0	0	0	0
Cm_g10370	0	0	0	0	0	0	0	0	0	0
Cm_g10371	0	0	0	0	0	0	1	0	0	0
Cm_g10372	2	0	1	9	1	4	14	10	1	7
Cm_g10373	0	13	14	2	0	2	0	5	9	19
Cm_g10374	0	7	9	1	0	0	0	2	10	4
Cm_g10375	0	0	0	0	0	0	0	0	0	0
Cm_g10376	0	3	5	0	0	0	0	0	7	11
Cm_g1037	6	6	2	12	4	4	2	7	7	7
Cm_g10377	0	0	0	0	0	0	0	0	0	0
Cm_g10378	0	0	0	0	0	0	0	0	0	0
Cm_g10379	0	0	0	1	0	0	0	0	0	0
Cm_g10380	0	0	0	0	0	0	0	0	0	0
Cm_g1038	0	0	0	1	0	1	0	2	0	0
Cm_g10381	0	0	0	0	0	0	0	0	0	0
Cm_g10382	0	0	0	0	0	0	0	0	0	0
Cm_g10383	0	0	0	0	0	0	0	0	0	0
Cm_g10384	0	0	0	0	0	0	0	0	0	0
Cm_g10385	0	0	0	0	0	0	0	0	0	0
Cm_g10386	0	0	0	0	0	0	0	0	0	0
Cm_g10387	0	0	0	0	0	0	0	0	0	0
Cm_g10388	0	0	0	0	0	0	0	0	0	0
Cm_g10389	0	0	0	0	0	0	0	0	0	0
Cm_g10390	0	0	0	0	0	0	0	0	0	0
Cm_g1039	0	1	2	4	1	3	0	7	1	1
Cm_g10391	0	0	0	2	0	0	0	0	0	0
Cm_g10392	0	1	0	0	0	0	0	0	0	0
Cm_g10393	0	0	0	1	0	0	0	1	0	0
Cm_g10394	0	0	0	0	0	0	0	0	0	0
Cm_g10395	0	0	0	0	0	0	0	0	0	0
Cm_g10396	2	0	1	106	0	0	0	3	2	4
Cm_g10397	0	0	0	0	0	0	0	0	0	0
Cm_g10398	0	0	0	0	0	0	0	0	0	0
Cm_g10399	2	1	0	10	0	10	1	9	4	6
Cm_g104	0	0	0	1	0	0	0	4	0	0
Cm_g10400	0	2	2	1	1	2	0	0	1	9
Cm_g10401	0	0	0	0	0	0	0	0	0	0
Cm_g1040	11	4	3	8	1	1	0	0	3	3
Cm_g10402	0	0	0	0	0	0	0	0	0	0
Cm_g10403	0	0	0	0	0	0	0	0	0	0
Cm_g10404	2	3	3	3	0	3	1	10	2	2
Cm_g10405	0	1	1	0	0	0	0	0	2	1
Cm_g10406	0	1	0	3	0	0	0	3	0	2
Cm_g10407	0	0	0	0	0	0	0	0	0	0
Cm_g10408	260	0	0	296	3	2	12	26	1	1
Cm_g10409	1	0	0	2	0	0	0	0	1	0
